order_quantity,number_of_items,current_stock,reorder_level,shortage_quantity,supplier_lead_time,processing_time,shipping_time,fulfillment_days
14,2,10,63,4,8.8,0.99,5.17,16.57
9,2,34,42,0,7.9,1.46,6.15,7.82
13,6,8,54,5,11.3,1.5,3.36,19.94
20,5,12,22,8,4.6,1.6,3.63,10.88
19,3,128,43,0,9.0,1.08,5.9,7.14
6,3,264,87,0,18.6,1.07,5.93,7.2
18,2,6,78,12,13.3,1.42,4.83,21.25
20,3,84,53,0,11.1,1.29,3.01,4.63
158,5,272,46,0,10.7,1.93,3.73,5.93
89,6,479,75,0,16.9,1.9,5.36,7.32
8,7,6,32,2,8.8,1.55,1.06,14.33
13,6,147,64,0,9.8,1.25,5.8,7.14
4,3,2,23,2,4.7,1.18,1.34,8.71
10,5,107,57,0,10.7,1.42,3.82,5.33
22,6,55,67,0,13.6,1.74,3.6,5.49
49,5,46,55,3,9.1,1.59,1.2,14.18
9,4,257,64,0,12.8,1.6,2.73,4.4
9,6,0,51,9,9.8,1.75,4.88,18.01
2,1,1,66,1,13.1,1.25,1.52,18.49
14,9,123,66,0,11.7,1.63,1.91,3.79
6,6,1,64,5,8.2,1.76,1.0,12.49
10,5,77,41,0,9.9,1.32,3.33,4.78
7,3,64,36,0,10.7,1.29,3.32,4.87
15,5,80,38,0,10.6,1.29,1.29,2.82
3,3,104,68,0,20.8,0.97,1.85,3.11
4,3,3,42,1,10.5,1.63,3.38,16.42
112,7,0,67,112,18.8,2.16,1.31,27.44
5,2,163,40,0,7.4,1.5,3.49,5.15
6,2,117,70,0,12.9,1.06,3.51,4.83
86,7,165,75,0,15.2,1.47,5.46,7.0
225,2,0,34,225,6.2,1.83,1.95,12.64
6,4,117,59,0,13.8,1.21,1.24,2.69
12,1,0,56,12,5.1,1.31,1.45,10.05
22,5,59,54,0,8.7,1.38,6.67,8.27
78,7,0,58,78,11.3,2.46,4.81,21.53
7,2,0,88,7,21.0,1.43,3.71,30.26
13,3,10,61,3,13.8,1.22,2.72,19.89
33,10,24,67,9,8.5,1.99,3.37,14.87
24,4,265,72,0,16.8,1.12,6.77,8.06
12,4,95,41,0,6.0,1.44,1.4,3.16
15,6,56,25,0,6.7,1.37,3.87,5.53
5,5,0,31,5,5.4,1.6,6.37,15.76
13,7,81,55,0,12.8,1.61,3.18,5.12
13,2,0,54,13,9.0,1.07,2.35,14.74
20,8,76,49,0,11.4,1.55,3.69,5.33
10,1,160,42,0,6.7,0.93,5.99,7.02
25,6,6,70,19,17.5,2.23,5.93,28.0
41,9,121,63,0,16.8,1.81,2.97,4.96
19,5,100,28,0,6.1,0.84,5.64,6.66
23,4,164,42,0,7.3,1.16,1.04,2.4
17,5,117,81,0,18.8,1.29,4.52,5.97
16,4,44,47,0,8.9,1.67,3.97,5.72
9,2,6,33,3,6.8,1.65,1.05,10.74
22,4,95,57,0,12.0,0.89,4.33,5.35
15,5,51,46,0,9.2,1.05,4.11,5.26
108,6,7,31,101,6.7,1.71,3.21,14.02
68,5,28,89,40,21.3,1.78,6.24,36.26
23,5,15,55,8,5.4,1.3,1.19,9.46
8,3,0,51,8,10.3,1.46,1.96,15.37
6,6,65,55,0,15.4,1.2,6.22,7.7
48,10,225,93,0,18.1,1.9,3.31,5.41
21,2,163,77,0,13.9,0.76,2.94,3.94
25,9,70,85,0,15.8,2.32,3.47,9.17
3,1,66,67,0,14.7,1.33,6.22,7.8
38,2,0,48,38,11.2,1.77,2.09,18.05
25,3,0,36,25,7.9,1.4,1.78,12.89
6,2,3,61,3,9.4,1.66,3.92,17.0
11,1,211,59,0,7.1,1.13,1.16,2.39
21,5,48,48,0,11.6,1.1,5.11,6.31
17,5,60,20,0,7.8,1.2,1.0,2.43
13,1,42,53,0,10.4,1.21,3.37,4.83
15,1,141,43,0,10.0,1.17,3.15,4.62
13,6,0,53,13,12.5,1.62,1.44,19.7
19,5,0,51,19,10.4,1.56,1.83,16.52
62,4,48,59,14,10.8,1.46,1.78,16.61
2,2,69,33,0,6.4,0.85,2.44,3.41
13,1,166,49,0,8.6,0.84,2.66,3.6
19,8,63,31,0,3.7,1.61,6.18,7.9
21,7,199,41,0,13.7,1.33,3.63,5.16
12,5,67,56,0,9.7,1.19,1.43,2.74
3,3,126,45,0,9.2,0.92,1.37,2.61
22,3,89,45,0,11.8,1.34,2.0,3.51
78,10,172,48,0,11.1,2.02,5.56,7.87
4,1,63,59,0,11.7,1.06,6.14,7.27
36,5,213,60,0,12.5,1.57,4.18,5.87
12,5,0,59,12,10.3,1.88,3.59,18.36
16,4,58,47,0,7.1,1.37,3.73,5.24
6,1,31,29,0,6.6,1.04,2.87,3.99
12,8,20,17,0,8.3,1.37,6.37,8.09
53,4,146,85,0,20.0,1.3,3.67,5.31
28,2,60,61,0,10.9,1.12,5.95,7.38
78,8,149,60,0,13.2,1.59,1.82,3.63
47,5,67,56,0,9.3,1.29,1.0,2.34
24,1,10,42,14,10.0,1.45,6.81,20.27
79,4,65,42,14,7.9,1.26,4.8,16.03
24,2,0,54,24,13.4,1.25,1.23,17.99
35,7,97,58,0,9.7,1.53,2.03,3.77
13,3,136,56,0,14.0,0.88,3.44,4.61
17,6,0,56,17,4.8,1.83,1.0,9.19
9,5,2,61,7,14.3,1.9,6.58,24.94
40,6,11,52,29,7.4,2.12,3.37,15.0
6,6,75,40,0,7.9,1.53,3.78,5.6
33,7,0,84,33,15.7,1.71,6.86,26.77
14,4,125,86,0,16.6,1.19,3.74,5.27
47,8,84,53,0,11.3,1.67,1.59,3.47
32,4,136,74,0,16.1,1.24,3.07,4.59
85,5,212,60,0,8.6,1.46,3.07,4.62
32,2,125,52,0,9.2,1.19,1.44,2.77
4,4,95,69,0,18.3,0.97,3.33,4.48
15,3,63,37,0,5.2,1.18,3.81,5.25
6,6,62,55,0,13.3,1.31,3.01,4.54
10,2,104,54,0,10.2,0.83,3.15,4.28
64,7,0,50,64,11.9,2.32,3.43,21.84
29,3,20,60,9,11.2,1.4,6.04,21.14
9,3,7,40,2,11.8,1.1,6.03,21.08
7,2,45,41,0,10.1,1.4,1.41,2.94
17,6,105,50,0,11.7,1.22,1.15,2.43
6,1,149,61,0,13.2,0.86,3.76,4.8
9,3,1,35,8,9.4,1.31,4.03,16.83
22,8,94,44,0,10.2,1.86,6.14,8.13
47,3,110,65,0,11.5,1.24,5.74,7.21
28,3,7,81,21,16.2,1.49,2.64,22.92
2,2,23,15,0,5.9,0.97,6.75,7.98
22,9,59,37,0,7.3,1.41,3.42,5.05
18,8,120,102,0,21.6,1.61,4.09,5.85
24,4,0,64,24,12.6,1.26,4.24,21.62
70,11,0,64,70,12.4,2.17,3.86,22.07
3,3,1,111,2,26.6,1.34,1.93,34.9
10,9,105,50,0,12.4,1.41,1.89,3.65
28,7,18,51,10,8.9,1.53,1.4,13.67
4,2,0,39,4,4.6,1.27,2.98,10.91
62,4,169,53,0,10.0,1.04,3.86,5.11
23,6,201,51,0,11.0,1.54,2.81,4.43
35,8,0,68,35,15.1,1.87,5.82,25.27
10,2,102,58,0,15.4,0.94,3.21,4.31
34,1,0,69,34,13.4,1.65,3.76,24.85
43,2,26,58,17,16.4,1.36,3.6,25.41
20,13,176,49,0,11.7,2.01,1.21,3.44
20,2,119,46,0,5.9,1.14,3.31,4.58
21,3,70,54,0,9.7,0.81,4.38,5.31
8,4,5,47,3,9.8,1.5,5.65,20.29
14,1,50,39,0,11.3,0.86,3.42,4.35
14,5,0,73,14,16.7,1.53,1.76,24.83
23,4,63,48,0,10.6,1.53,3.53,5.26
40,3,99,59,0,10.7,1.0,6.27,7.5
6,5,201,105,0,28.2,0.97,6.49,7.63
15,2,41,26,0,7.5,0.99,6.65,7.97
62,8,0,45,62,12.2,1.88,6.02,22.97
8,2,91,43,0,8.6,1.26,3.68,5.22
8,4,189,62,0,12.7,1.24,3.59,5.05
20,1,217,65,0,17.6,1.04,3.1,4.33
35,5,0,58,35,14.4,1.7,6.09,24.82
17,6,0,67,17,12.1,1.78,5.26,22.56
54,7,128,66,0,10.8,1.41,3.67,5.39
36,6,152,75,0,16.4,1.32,2.54,4.2
35,7,105,64,0,14.7,1.54,3.05,4.77
27,1,11,48,16,10.8,1.12,6.38,20.2
134,4,105,111,29,26.8,2.0,3.71,37.41
14,5,2,43,12,8.2,1.48,1.49,14.57
3,3,264,112,0,25.8,1.16,3.3,4.52
70,2,41,83,29,16.7,1.52,3.11,27.05
11,7,142,46,0,6.7,1.25,5.74,7.32
18,4,146,42,0,8.5,1.18,3.81,5.12
53,4,0,55,53,12.1,1.57,3.39,19.81
4,3,37,23,0,6.1,0.81,2.56,3.57
5,5,2,67,3,14.9,1.59,2.95,21.39
4,4,1,53,3,10.6,1.37,3.13,18.38
8,3,83,55,0,15.2,0.97,3.38,4.6
24,6,273,90,0,14.4,1.31,5.87,7.45
26,5,106,57,0,9.9,1.33,5.52,6.94
21,4,11,39,10,8.6,1.62,3.78,15.52
5,3,109,57,0,5.0,1.06,2.61,3.93
2,2,150,99,0,26.3,1.25,5.66,7.25
17,4,0,73,17,14.0,1.53,6.35,23.57
11,7,8,43,3,7.0,1.76,3.74,14.48
25,1,0,49,25,10.6,1.13,3.38,17.29
31,4,181,69,0,16.4,1.47,3.92,5.47
19,7,136,70,0,11.2,1.36,3.62,5.12
33,4,133,49,0,6.4,1.32,3.53,5.19
20,3,16,66,4,14.7,0.92,6.27,24.34
26,1,61,20,0,6.4,0.86,3.68,4.74
9,3,75,73,0,15.6,0.87,4.1,5.13
14,3,0,48,14,12.8,1.28,1.38,18.92
20,7,247,60,0,10.8,1.23,3.39,4.83
34,10,52,47,0,10.6,1.71,3.59,5.35
12,2,58,45,0,9.8,1.07,3.51,4.72
26,6,0,58,26,13.9,1.45,6.84,25.04
13,2,0,52,13,6.9,1.36,6.24,17.42
15,5,69,30,0,8.8,1.37,5.67,7.18
35,8,335,89,0,19.2,1.57,2.83,4.53
3,1,175,103,0,25.0,1.2,4.21,5.69
5,5,0,52,5,10.2,1.47,3.33,17.44
4,3,72,53,0,11.6,1.31,3.65,5.15
2,2,1,48,1,7.3,1.27,3.49,17.22
9,7,7,42,2,8.1,1.4,3.86,16.2
32,3,51,32,0,5.1,1.26,3.25,4.69
13,4,78,40,0,5.9,1.25,3.55,5.13
20,5,141,67,0,9.3,1.14,3.25,4.69
44,4,1,56,43,15.9,1.86,2.75,23.74
54,6,0,60,54,10.8,1.85,5.66,20.47
15,5,168,79,0,18.8,1.22,1.75,3.17
56,5,117,46,0,8.8,1.5,4.78,6.48
18,4,68,60,0,17.2,1.31,1.99,3.62
8,1,104,94,0,28.7,0.86,3.49,4.6
10,5,57,64,0,12.7,1.31,1.58,3.16
4,4,34,23,0,5.0,0.98,5.63,6.89
7,1,1,46,6,4.9,1.22,6.76,14.3
12,6,58,29,0,6.0,1.76,5.9,7.91
34,3,47,51,0,7.9,1.49,1.47,3.18
77,6,159,64,0,15.4,1.77,3.1,5.21
5,3,3,43,2,9.1,1.51,5.86,19.62
23,1,212,66,0,17.2,1.18,3.53,5.03
6,1,2,52,4,8.5,1.29,1.99,16.18
25,8,477,117,0,28.2,1.49,3.62,5.24
15,4,173,78,0,19.2,1.06,6.49,7.68
3,3,116,54,0,8.9,1.0,1.0,2.09
38,5,19,44,19,7.6,1.53,2.13,12.72
10,3,78,68,0,19.3,0.94,2.9,3.89
10,3,0,46,10,6.9,1.18,1.85,11.42
6,2,133,45,0,8.6,0.98,2.1,3.4
9,6,1,16,8,6.9,1.59,3.53,14.81
24,3,45,54,0,11.9,2.02,3.93,6.11
14,5,61,60,0,17.7,1.69,1.12,2.88
22,5,0,36,22,9.0,1.95,3.52,16.55
23,7,146,69,0,16.1,1.37,3.92,5.4
54,6,109,59,0,12.3,1.47,3.83,5.48
12,3,6,33,6,6.8,1.59,2.8,12.9
4,2,1,53,3,8.7,1.6,3.95,16.03
43,7,35,38,8,5.9,1.78,4.27,13.15
12,6,58,37,0,6.7,1.49,4.05,5.65
45,1,147,91,0,21.9,1.1,5.45,6.85
23,7,2,69,21,11.4,1.5,3.01,17.98
15,2,66,33,0,10.7,0.95,3.53,4.53
23,8,5,69,18,11.3,2.07,3.76,20.25
95,8,19,38,76,7.5,2.19,1.89,14.77
107,1,90,42,17,9.2,1.21,3.14,14.93
18,3,53,56,0,12.6,1.42,3.47,5.0
19,4,76,28,0,5.4,1.47,3.13,4.9
43,2,0,25,43,4.7,1.38,5.55,13.46
8,1,97,55,0,8.4,0.79,3.68,4.8
22,6,0,47,22,7.9,1.63,1.47,13.97
16,5,4,59,12,18.2,1.26,6.2,30.34
22,1,61,51,0,7.5,0.94,3.24,4.49
8,4,140,66,0,12.8,1.12,1.8,3.03
4,4,124,30,0,7.9,1.35,2.99,4.47
3,1,75,61,0,12.4,1.06,3.3,4.63
6,2,1,63,5,11.5,1.19,3.0,17.26
11,6,155,69,0,20.3,1.0,3.63,4.92
13,1,113,46,0,7.2,1.02,6.82,8.07
94,3,190,36,0,7.2,1.18,1.67,3.0
44,6,224,121,0,30.0,1.96,3.45,5.65
7,4,133,66,0,17.4,1.35,3.41,4.95
22,11,0,58,22,8.7,2.12,5.74,19.57
11,5,5,41,6,7.4,2.01,4.0,16.89
13,7,45,36,0,7.0,1.65,1.69,3.43
19,5,290,67,0,17.1,1.24,5.25,6.58
29,2,58,55,0,8.1,0.98,6.49,7.78
12,4,0,37,12,7.6,1.39,3.11,14.45
43,4,109,55,0,7.5,1.22,3.2,4.54
6,4,2,66,4,13.6,1.32,6.18,23.46
17,5,148,37,0,9.7,1.22,3.23,4.68
170,6,53,76,117,17.4,2.27,2.51,26.11
20,5,0,98,20,24.1,1.26,5.89,33.16
60,8,41,43,19,11.5,2.29,3.78,20.25
18,6,129,58,0,12.0,1.41,1.0,2.7
28,8,76,56,0,9.5,1.68,3.22,5.06
16,5,3,67,13,11.3,1.54,5.94,21.56
14,3,171,47,0,5.1,1.2,6.45,7.71
8,3,190,84,0,12.5,1.54,1.02,2.89
24,5,0,70,24,15.7,1.61,4.04,25.2
8,3,0,47,8,6.8,1.59,3.56,13.44
30,5,192,85,0,22.1,1.17,3.65,5.08
44,5,119,66,0,8.5,1.45,5.66,7.26
23,4,131,73,0,19.4,1.18,3.07,4.5
13,3,0,84,13,14.1,1.6,2.52,20.97
25,5,0,58,25,6.5,1.54,3.63,19.67
12,3,0,66,12,16.9,1.54,3.78,25.89
38,11,116,65,0,10.7,1.59,3.34,5.06
3,3,117,66,0,13.1,1.02,2.79,4.0
12,1,8,47,4,9.6,1.07,3.25,15.52
3,3,50,51,0,10.2,1.2,3.67,4.96
4,2,123,40,0,5.5,0.93,1.58,2.72
56,5,0,67,56,13.5,1.73,6.3,23.17
37,4,17,69,20,10.6,1.51,1.0,15.45
9,5,125,64,0,12.1,1.03,1.32,2.53
4,4,1,55,3,13.2,1.46,1.45,18.06
1,1,1,68,0,12.8,1.06,3.78,5.07
10,4,168,46,0,13.7,1.16,5.73,7.04
145,7,173,33,0,5.4,1.99,6.24,8.49
24,6,50,48,0,9.7,1.57,3.07,4.77
10,3,117,47,0,6.5,0.67,3.6,4.42
25,8,1,51,24,4.2,1.78,1.37,9.22
4,3,270,64,0,13.0,0.73,3.34,4.36
13,4,427,93,0,23.9,1.53,4.59,6.46
18,4,47,27,0,4.4,1.27,1.35,2.91
15,5,325,72,0,13.5,1.46,5.81,7.5
34,4,96,47,0,9.2,1.15,2.86,4.09
22,6,17,48,5,10.2,1.55,6.45,20.19
30,6,3,72,27,13.3,1.92,3.26,20.89
9,3,131,72,0,12.5,1.09,3.49,4.78
37,1,100,41,0,9.6,1.2,3.12,4.41
71,3,99,32,0,8.5,1.24,6.19,7.6
7,1,0,59,7,12.6,1.07,1.92,21.77
7,6,0,24,7,4.7,1.84,2.09,10.9
55,3,0,50,55,13.3,1.61,3.45,23.71
14,4,64,39,0,9.2,1.3,3.23,4.63
58,4,0,90,58,18.5,1.29,3.2,25.42
11,4,2,60,9,10.6,1.2,6.01,22.07
61,9,267,102,0,18.1,1.8,6.11,8.17
19,7,72,36,0,7.1,1.25,3.74,5.11
21,7,213,55,0,6.9,1.29,3.12,4.73
67,2,24,50,43,7.8,1.35,3.56,14.51
12,3,1,78,11,20.0,1.14,3.04,28.68
7,3,71,52,0,10.4,1.1,5.94,7.12
11,3,189,41,0,8.4,1.02,4.13,5.26
